date,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),rain (mm),raining (s),SWDR (W/mï¿?,PAR (ï¿½mol/mï¿?s),max. PAR (ï¿½mol/mï¿?s),Tlog (degC),OT
2020/1/1 0:10,1008.89,0.71,273.18,-1.33,86.1,6.43,5.54,0.89,3.42,5.49,1280.62,1.02,1.6,224.3,0,0,0,0,0,11.45,428.1
2020/1/1 0:20,1008.76,0.75,273.22,-1.44,85.2,6.45,5.49,0.95,3.39,5.45,1280.33,0.43,0.84,206.8,0,0,0,0,0,11.51,428
2020/1/1 0:30,1008.66,0.73,273.21,-1.48,85.1,6.44,5.48,0.96,3.39,5.43,1280.29,0.61,1.48,197.1,0,0,0,0,0,11.6,427.6
2020/1/1 0:40,1008.64,0.37,272.86,-1.64,86.3,6.27,5.41,0.86,3.35,5.37,1281.97,1.11,1.48,206.4,0,0,0,0,0,11.7,430
2020/1/1 0:50,1008.61,0.33,272.82,-1.5,87.4,6.26,5.47,0.79,3.38,5.42,1282.08,0.49,1.4,209.6,0,0,0,0,0,11.81,432.2
2020/1/1 1:00,1008.44,0.34,272.84,-1.54,87.1,6.26,5.45,0.81,3.37,5.41,1281.84,0.63,1.32,188,0,0,0,0,0,11.91,430.5
2020/1/1 1:10,1008.49,0.19,272.69,-1.65,87.4,6.19,5.41,0.78,3.34,5.37,1282.63,0.88,1.28,195.4,0,0,0,0,0,12,431.3
2020/1/1 1:20,1008.4,0.03,272.53,-1.7,88.1,6.12,5.39,0.73,3.33,5.35,1283.3,1.05,1.64,183.1,0,0,0,0,0,12.07,433.9
2020/1/1 1:30,1008.29,0.11,272.63,-1.61,88.1,6.16,5.43,0.73,3.35,5.38,1282.73,0.9,1.72,199.9,0,0,0,0,0,12.12,430.9
2020/1/1 1:40,1008.28,0.22,272.73,-1.62,87.4,6.2,5.42,0.78,3.35,5.38,1282.24,0.62,1.04,123.9,0,0,0,0,0,12.14,431.1
2020/1/1 1:50,1008.24,-0.04,272.48,-1.85,87.5,6.09,5.33,0.76,3.29,5.29,1283.42,0.61,1.12,176.5,0,0,0,0,0,12.14,434.6
2020/1/1 2:00,1008.32,-0.21,272.3,-1.78,89.1,6.01,5.36,0.66,3.31,5.31,1284.32,0.5,1,154,0,0,0,0,0,12.13,435.6
2020/1/1 2:10,1008.24,-0.1,272.42,-1.74,88.6,6.06,5.37,0.69,3.32,5.33,1283.67,0.48,0.98,105.5,0,0,0,0,0,12.09,433.4
2020/1/1 2:20,1008.35,-0.16,272.35,-1.88,88.1,6.04,5.32,0.72,3.29,5.27,1284.15,0.57,1.08,65.58,0,0,0,0,0,12.06,433.7
2020/1/1 2:30,1008.3,-0.22,272.3,-1.82,88.9,6.01,5.34,0.67,3.3,5.3,1284.34,0.28,0.64,356.1,0,0,0,0,0,12.01,433.2
2020/1/1 2:40,1008.4,-0.06,272.45,-1.77,88.2,6.08,5.36,0.72,3.32,5.32,1283.71,0.81,2.3,143.7,0,0,0,0,0,11.93,433.9
2020/1/1 2:50,1008.39,-0.17,272.34,-1.81,88.6,6.03,5.35,0.69,3.3,5.3,1284.22,0.42,1.38,191.3,0,0,0,0,0,11.83,434.3
2020/1/1 3:00,1008.46,-0.05,272.45,-1.71,88.5,6.09,5.39,0.7,3.33,5.34,1283.73,0.46,1.14,46.51,0,0,0,0,0,11.74,434.3
2020/1/1 3:10,1008.15,-0.21,272.31,-1.84,88.7,6.01,5.33,0.68,3.3,5.29,1284.13,0.32,0.76,199.6,0,0,0,0,0,11.67,433.9
2020/1/1 3:20,1008.07,-0.77,271.77,-2.31,89.2,5.78,5.15,0.62,3.18,5.11,1286.71,1.6,2.4,214.2,0,0,0,0,0,11.61,428.9
2020/1/1 3:30,1008.12,-0.93,271.61,-2.26,90.6,5.71,5.17,0.54,3.2,5.13,1287.52,1.2,1.92,222.5,0,0,0,0,0,11.54,429.6
2020/1/1 3:40,1008.04,-0.86,271.68,-2.17,90.8,5.73,5.21,0.53,3.22,5.17,1287.1,1.08,1.46,220.3,0,0,0,0,0,11.45,430.1
2020/1/1 3:50,1008.16,-0.87,271.66,-2.16,90.9,5.73,5.21,0.52,3.22,5.17,1287.28,0.79,1.36,211.1,0,0,0,0,0,11.34,432.6
2020/1/1 4:00,1008,-1.02,271.52,-2.31,90.9,5.67,5.15,0.52,3.19,5.11,1287.83,1.83,2.64,218.1,0,0,0,0,0,11.21,430.4
2020/1/1 4:10,1007.76,-1.15,271.41,-2.37,91.4,5.61,5.13,0.48,3.17,5.09,1288.16,1.16,2.36,237.3,0,0,0,0,0,11.08,430.7
2020/1/1 4:20,1007.84,-1.08,271.47,-2.25,91.7,5.64,5.17,0.47,3.2,5.13,1287.9,0.47,1.04,28.8,0,0,0,0,0,10.94,430.7
2020/1/1 4:30,1007.85,-1.59,270.96,-2.93,90.5,5.43,4.92,0.52,3.04,4.88,1290.46,0.81,1.42,165.7,0,0,0,0,0,10.8,434.6
2020/1/1 4:40,1008.02,-1.82,270.72,-2.92,92.1,5.34,4.92,0.42,3.04,4.88,1291.74,0.73,2.24,144.8,0,0,0,0,0,10.66,433.3
2020/1/1 4:50,1007.92,-1.84,270.71,-2.9,92.4,5.33,4.93,0.41,3.05,4.89,1291.74,1.05,1.68,203.9,0,0,0,0,0,10.52,437.6
2020/1/1 5:00,1007.63,-1.84,270.73,-2.78,93.2,5.34,4.97,0.36,3.08,4.94,1291.32,1.53,2.2,226.9,0,0,0,0,0,10.38,435
2020/1/1 5:10,1007.63,-2.14,270.44,-3.21,92.3,5.22,4.82,0.4,2.98,4.78,1292.81,1.18,2.04,186.6,0,0,0,0,0,10.25,433.4
2020/1/1 5:20,1007.9,-2.34,270.21,-3.26,93.4,5.14,4.8,0.34,2.97,4.76,1294.16,0.41,1.6,86.3,0,0,0,0,0,10.12,433.5
2020/1/1 5:30,1007.99,-2.2,270.35,-3.05,93.8,5.2,4.87,0.32,3.01,4.84,1293.54,1.09,1.68,154.5,0,0,0,0,0,9.99,439.9
2020/1/1 5:40,1007.85,-2.3,270.25,-3.18,93.7,5.15,4.83,0.32,2.99,4.79,1293.9,1.11,1.68,199.7,0,0,0,0,0,9.86,440.9
2020/1/1 5:50,1007.81,-2.4,270.16,-3.21,94.1,5.12,4.82,0.3,2.98,4.78,1294.29,0.47,0.96,216.9,0,0,0,0,0,9.75,438.9
2020/1/1 6:00,1007.81,-2.51,270.05,-3.34,94,5.08,4.77,0.3,2.95,4.74,1294.85,0.85,2.12,177.9,0,0,0,0,0,9.65,438.9
2020/1/1 6:10,1007.91,-2.83,269.72,-3.64,94.1,4.96,4.66,0.29,2.88,4.63,1296.56,1.36,2.12,199.1,0,0,0,0,0,9.56,434.1
2020/1/1 6:20,1008.06,-2.79,269.75,-3.53,94.6,4.97,4.7,0.27,2.91,4.66,1296.56,1,1.88,154.2,0,0,0,0,0,9.48,441.1
2020/1/1 6:30,1008.22,-2.74,269.79,-3.45,94.8,4.99,4.73,0.26,2.92,4.69,1296.51,0.62,1.24,143,0,0,0,0,0,9.4,440.4
2020/1/1 6:40,1008.19,-2.63,269.9,-3.31,95,5.03,4.78,0.25,2.95,4.74,1295.89,0.46,0.92,199.8,0,0,0,0,0,9.33,438.9
2020/1/1 6:50,1008.21,-2.5,270.02,-3.19,95,5.08,4.82,0.25,2.98,4.79,1295.31,0.41,0.88,211.3,0,0,0,0,0,9.25,435.5
2020/1/1 7:00,1008.17,-2.26,270.27,-2.94,95,5.17,4.91,0.26,3.04,4.87,1294.04,0.95,1.76,218.2,0,0,0,0,0,9.17,433.3
2020/1/1 7:10,1008.16,-2.31,270.23,-3.09,94.3,5.15,4.86,0.29,3,4.82,1294.28,1.24,2.08,209.8,0,0,0,0,0,9.1,433.1
2020/1/1 7:20,1008.17,-2.53,270,-3.39,93.8,5.07,4.75,0.31,2.94,4.72,1295.42,1,1.68,188.1,0,0,0,0,0,9.05,435.2
2020/1/1 7:30,1008.13,-2.68,269.86,-3.49,94.1,5.01,4.72,0.3,2.92,4.68,1296.1,0.72,1.64,172.8,0,0,0,0,0,9.01,437.6
2020/1/1 7:40,1008.25,-2.73,269.79,-3.53,94.2,4.99,4.7,0.29,2.91,4.66,1296.52,0.47,1.22,163.5,0,0,0,0,0,8.99,439
2020/1/1 7:50,1008.17,-2.79,269.74,-3.57,94.3,4.97,4.69,0.28,2.9,4.65,1296.7,0.89,1.54,135.1,0,0,0,0,0,8.96,438.5
2020/1/1 8:00,1008.16,-2.84,269.69,-3.6,94.5,4.95,4.68,0.27,2.89,4.64,1296.95,1.37,2.26,131,0,0,0,1.54,2.51,8.94,436.4
